iter	Logloss
0	0.6042839666
1	0.5890499233
2	0.5819409356
3	0.5765874511
4	0.5725583077
5	0.5709078334
6	0.5692208351
7	0.5683031814
8	0.565604314
9	0.56482764
10	0.5632996739
11	0.5623972589
12	0.5618137961
13	0.5616808269
14	0.5611050244
15	0.5608218852
16	0.5604932645
17	0.5603496817
18	0.5594878828
19	0.5592457345
20	0.5589881688
21	0.5585077979
22	0.5582323253
23	0.5580698512
24	0.5579074547
25	0.5578054706
26	0.5571255347
27	0.5566649581
28	0.5564622905
29	0.556209068
30	0.5560822122
31	0.5558895909
32	0.5557060195
33	0.555596088
34	0.5555316693
35	0.5553860273
36	0.5552326602
37	0.5551599439
38	0.5551088343
39	0.5550543125
40	0.5549549522
41	0.5547547524
42	0.5546747397
43	0.5546176707
44	0.5545654405
45	0.5544773479
46	0.5544023655
47	0.5542547387
48	0.5542056246
49	0.5541485105
50	0.5540140102
51	0.5539284517
52	0.5538914983
53	0.5534825598
54	0.5533821679
55	0.5532629791
56	0.5531789877
57	0.553051389
58	0.5529708669
59	0.5529174518
60	0.5528747716
61	0.5528642616
62	0.552825752
63	0.552565743
64	0.5525288251
65	0.5524332316
66	0.5523335656
67	0.5522284246
68	0.5521669884
69	0.5521298745
70	0.5520578039
71	0.5520208234
72	0.5518881455
73	0.5518478395
74	0.5518354635
75	0.5516436223
76	0.5515317433
77	0.5514953573
78	0.5513958146
79	0.5513663351
80	0.5513123239
81	0.5512791747
82	0.5512585964
83	0.551217467
84	0.5511756462
85	0.5511526635
86	0.5510877757
87	0.5510206739
88	0.5509805636
89	0.5509439241
90	0.5509406987
91	0.550883426
92	0.5508663129
93	0.5508094919
94	0.550779581
95	0.5507436229
96	0.550716414
97	0.5506925773
98	0.5506535709
99	0.5506464548
