iter	Passed	Remaining
0	8	800
1	15	782
2	23	770
3	31	755
4	39	745
5	49	778
6	59	785
7	66	768
8	76	768
9	84	763
10	92	749
11	100	734
12	107	719
13	114	706
14	123	698
15	131	688
16	141	688
17	151	691
18	164	703
19	174	699
20	181	684
21	190	674
22	199	667
23	210	667
24	218	656
25	231	660
26	239	647
27	246	633
28	254	623
29	262	612
30	270	602
31	277	589
32	285	580
33	294	570
34	301	559
35	308	549
36	317	541
37	325	530
38	333	521
39	344	516
40	355	511
41	362	501
42	370	491
43	381	485
44	391	478
45	399	469
46	410	463
47	419	454
48	428	445
49	436	436
50	443	425
51	451	416
52	459	407
53	467	398
54	475	389
55	484	380
56	492	371
57	500	362
58	509	353
59	517	345
60	526	336
61	536	328
62	547	321
63	554	311
64	564	304
65	573	295
66	586	288
67	594	279
68	607	273
69	620	265
70	631	257
71	638	248
72	647	239
73	655	230
74	662	220
75	669	211
76	678	202
77	684	193
78	692	184
79	700	175
80	708	166
81	716	157
82	724	148
83	733	139
84	744	131
85	754	122
86	765	114
87	777	106
88	786	97
89	800	88
90	814	80
91	825	71
92	833	62
93	842	53
94	850	44
95	859	35
96	867	26
97	875	17
98	883	8
99	891	0
