month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2015-02,1.0,2.0,2.0,2.0,5.0,4.0,2.0,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0
2015-03,2.0,2.0,2.0,5.0,4.0,2.0,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,
2015-04,2.0,2.0,5.0,4.0,2.0,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,
2015-05,2.0,5.0,4.0,2.0,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,,
2015-06,5.0,4.0,2.0,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,,,
2015-07,4.0,2.0,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,,,,
2015-08,2.0,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,,,,,
2015-09,5.0,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,,,,,,
2015-10,6.0,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,,,,,,,
2015-11,10.0,12.0,19.0,25.0,25.0,21.0,34.0,33.0,29.0,35.0,49.0,58.0,41.0,62.0,57.0,70.0,118.0,112.0,109.0,123.0,125.0,140.0,161.0,188.0,191.0,213.0,229.0,240.0,249.0,319.0,366.0,463.0,541.0,683.0,843.0,1233.0,1672.0,2890.0,6994.0,583.0,,,,,,,,,
