month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2015-02,1.0,2.0,2.0,2.0,5.0,4.0,2.0,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0
2015-03,2.0,2.0,2.0,5.0,4.0,2.0,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,
2015-04,2.0,2.0,5.0,4.0,2.0,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,
2015-05,2.0,5.0,4.0,2.0,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,
2015-06,5.0,4.0,2.0,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,
2015-07,4.0,2.0,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,
2015-08,2.0,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,
2015-09,5.0,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,
2015-10,6.0,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,
2015-11,9.0,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,
2015-12,12.0,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,
2016-01,18.0,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,
2016-02,22.0,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,
2016-03,23.0,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,
2016-04,18.0,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,
2016-05,28.0,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,
2016-06,30.0,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,
2016-07,25.0,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,
2016-08,28.0,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,
2016-09,44.0,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,
2016-10,54.0,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,
2016-11,38.0,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,
2016-12,53.0,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,
2017-01,46.0,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,
2017-02,62.0,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03,105.0,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04,95.0,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05,90.0,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06,102.0,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07,102.0,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08,114.0,131.0,150.0,156.0,168.0,187.0,191.0,183.0,240.0,274.0,342.0,397.0,517.0,599.0,893.0,1142.0,1795.0,4418.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
