month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
2015-11,1.0,1.0,3.0,2.0,3.0,6.0,3.0,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0
2016-01,1.0,3.0,2.0,3.0,6.0,3.0,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,
2016-02,3.0,2.0,3.0,6.0,3.0,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,
2016-03,2.0,3.0,6.0,3.0,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,,
2016-04,3.0,6.0,3.0,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,,,
2016-05,6.0,3.0,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,,,,
2016-06,3.0,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,,,,,
2016-07,4.0,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,,,,,,
2016-08,7.0,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,,,,,,,
2016-09,5.0,4.0,3.0,9.0,11.0,8.0,12.0,17.0,18.0,21.0,19.0,26.0,29.0,34.0,29.0,37.0,37.0,41.0,53.0,57.0,72.0,96.0,99.0,135.0,172.0,246.0,372.0,800.0,1740.0,140.0,,,,,,,,,
