month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2017-03,1.0,1.0,4.0,1.0,4.0,6.0,8.0,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0
2017-05,1.0,4.0,1.0,4.0,6.0,8.0,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,
2017-07,4.0,1.0,4.0,6.0,8.0,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,
2017-09,1.0,4.0,6.0,8.0,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,
2017-10,4.0,6.0,8.0,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,
2017-11,6.0,8.0,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,
2017-12,8.0,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,
2018-01,5.0,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,
2018-02,8.0,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,
2018-03,13.0,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,,
2018-04,22.0,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,,,
2018-05,20.0,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,,,,
2018-06,25.0,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,,,,,
2018-07,45.0,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,,,,,,
2018-08,30.0,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,,,,,,,
2018-09,72.0,94.0,158.0,291.0,834.0,78.0,,,,,,,,,,,,,,,
2018-10,94.0,158.0,291.0,834.0,78.0,,,,,,,,,,,,,,,,
2018-11,158.0,291.0,834.0,78.0,,,,,,,,,,,,,,,,,
2018-12,291.0,834.0,78.0,,,,,,,,,,,,,,,,,,
2019-01,834.0,78.0,,,,,,,,,,,,,,,,,,,
2019-02,78.0,,,,,,,,,,,,,,,,,,,,
