month;M0;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;M26;M27;M28;M29;M30;M31;M32;M33;M34;M35;M36;M37;M38;M39;M40;M41;M42;M43;M44;M45;M46;M47;M48
2015-02;1;2;2;2;5;4;2;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365
2015-03;2;2;2;5;4;2;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0
2015-04;2;2;5;4;2;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0
2015-05;2;5;4;2;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0
2015-06;5;4;2;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0
2015-07;4;2;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0
2015-08;2;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0
2015-09;5;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0
2015-10;6;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0
2015-11;9;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0
2015-12;12;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0
2016-01;18;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0
2016-02;22;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0
2016-03;23;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-04;18;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-05;28;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-06;30;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-07;25;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-08;28;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-09;44;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-10;54;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-11;38;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-12;53;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-01;46;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-02;62;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-03;105;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-04;95;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-05;90;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-06;102;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-07;102;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-08;114;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-09;131;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-10;150;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-11;156;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-12;168;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-01;187;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-02;191;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-03;183;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-04;240;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-05;274;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-06;342;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-07;397;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-08;517;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-09;599;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-10;893;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-11;1142;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018-12;1795;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-01;4418;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-02;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
