,Product,month,cohort_idx,period
0,FLIGHT,2015-02,1,M0
1,FLIGHT,2015-03,2,M1
2,FLIGHT,2015-04,2,M2
3,FLIGHT,2015-05,2,M3
4,FLIGHT,2015-06,5,M4
5,FLIGHT,2015-07,4,M5
6,FLIGHT,2015-08,2,M6
7,FLIGHT,2015-09,5,M7
8,FLIGHT,2015-10,6,M8
9,FLIGHT,2015-11,9,M9
10,FLIGHT,2015-12,12,M10
11,FLIGHT,2016-01,18,M11
12,FLIGHT,2016-02,22,M12
13,FLIGHT,2016-03,23,M13
14,FLIGHT,2016-04,18,M14
15,FLIGHT,2016-05,28,M15
16,FLIGHT,2016-06,30,M16
17,FLIGHT,2016-07,25,M17
18,FLIGHT,2016-08,28,M18
19,FLIGHT,2016-09,44,M19
20,FLIGHT,2016-10,54,M20
21,FLIGHT,2016-11,38,M21
22,FLIGHT,2016-12,53,M22
23,FLIGHT,2017-01,46,M23
24,FLIGHT,2017-02,62,M24
25,FLIGHT,2017-03,105,M25
26,FLIGHT,2017-04,95,M26
27,FLIGHT,2017-05,90,M27
28,FLIGHT,2017-06,102,M28
29,FLIGHT,2017-07,102,M29
30,FLIGHT,2017-08,114,M30
31,FLIGHT,2017-09,131,M31
32,FLIGHT,2017-10,150,M32
33,FLIGHT,2017-11,156,M33
34,FLIGHT,2017-12,168,M34
35,FLIGHT,2018-01,187,M35
36,FLIGHT,2018-02,191,M36
37,FLIGHT,2018-03,183,M37
38,FLIGHT,2018-04,240,M38
39,FLIGHT,2018-05,274,M39
40,FLIGHT,2018-06,342,M40
41,FLIGHT,2018-07,397,M41
42,FLIGHT,2018-08,517,M42
43,FLIGHT,2018-09,599,M43
44,FLIGHT,2018-10,893,M44
45,FLIGHT,2018-11,1142,M45
46,FLIGHT,2018-12,1795,M46
47,FLIGHT,2019-01,4418,M47
48,FLIGHT,2019-02,365,M48
