,Product,month,cohort_idx,period
0,HOTEL,2015-11,1,M0
1,HOTEL,2016-01,1,M1
2,HOTEL,2016-02,3,M2
3,HOTEL,2016-03,2,M3
4,HOTEL,2016-04,3,M4
5,HOTEL,2016-05,6,M5
6,HOTEL,2016-06,3,M6
7,HOTEL,2016-07,4,M7
8,HOTEL,2016-08,7,M8
9,HOTEL,2016-09,5,M9
10,HOTEL,2016-10,4,M10
11,HOTEL,2016-11,3,M11
12,HOTEL,2016-12,9,M12
13,HOTEL,2017-01,11,M13
14,HOTEL,2017-02,8,M14
15,HOTEL,2017-03,12,M15
16,HOTEL,2017-04,17,M16
17,HOTEL,2017-05,18,M17
18,HOTEL,2017-06,21,M18
19,HOTEL,2017-07,19,M19
20,HOTEL,2017-08,26,M20
21,HOTEL,2017-09,29,M21
22,HOTEL,2017-10,34,M22
23,HOTEL,2017-11,29,M23
24,HOTEL,2017-12,37,M24
25,HOTEL,2018-01,37,M25
26,HOTEL,2018-02,41,M26
27,HOTEL,2018-03,53,M27
28,HOTEL,2018-04,57,M28
29,HOTEL,2018-05,72,M29
30,HOTEL,2018-06,96,M30
31,HOTEL,2018-07,99,M31
32,HOTEL,2018-08,135,M32
33,HOTEL,2018-09,172,M33
34,HOTEL,2018-10,246,M34
35,HOTEL,2018-11,372,M35
36,HOTEL,2018-12,800,M36
37,HOTEL,2019-01,1740,M37
38,HOTEL,2019-02,140,M38
