,Product,month,cohort_idx,period
0,TRAIN,2017-03,1,M0
1,TRAIN,2017-05,1,M1
2,TRAIN,2017-07,4,M2
3,TRAIN,2017-09,1,M3
4,TRAIN,2017-10,4,M4
5,TRAIN,2017-11,6,M5
6,TRAIN,2017-12,8,M6
7,TRAIN,2018-01,5,M7
8,TRAIN,2018-02,8,M8
9,TRAIN,2018-03,13,M9
10,TRAIN,2018-04,22,M10
11,TRAIN,2018-05,20,M11
12,TRAIN,2018-06,25,M12
13,TRAIN,2018-07,45,M13
14,TRAIN,2018-08,30,M14
15,TRAIN,2018-09,72,M15
16,TRAIN,2018-10,94,M16
17,TRAIN,2018-11,158,M17
18,TRAIN,2018-12,291,M18
19,TRAIN,2019-01,834,M19
20,TRAIN,2019-02,78,M20
